시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,6,2001-08-17,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 안녕동,소-젖소,18,2001-08-25,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 우정읍 석천리,소-젖소,1,2001-08-25,경기도축산위생연구소
화성시,결핵병,경기도 화성시 팔탄면,소-젖소,25,2001-09-13,경기도축산위생연구소
화성시,결핵병,경기도 화성시 향남읍 상두리,소-젖소,1,2001-09-21,경기도축산위생연구소
화성시,돼지생식기호흡기증후군,경기도 화성시 향남읍 상두리,돼지-육성돈,15,2001-09-24,병리진단과
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,1,2001-10-02,경기도축산위생연구소
화성시,뉴캣슬병,경기도 화성시 정남면,닭,8500,2001-10-03,조류질병과
화성시,브루셀라병,경기도 화성시 안녕동,소-젖소,6,2001-10-04,경기도축산위생연구소
화성시,결핵병,경기도 화성시 우정읍 화산리,소-젖소,7,2001-10-12,경기도축산위생연구소
화성시,결핵병,경기도 화성시 양감면,소-젖소,1,2001-10-12,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 봉담읍,소-젖소,2,2001-10-13,경기도축산위생연구소
화성시,브루셀라병,경기도 화성시 향남읍 상신리,소-젖소,24,2001-10-13,경기도축산위생연구소
