"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시 중구 청구동(1114064500)","13,421","13,421","659","823","1,786","2,144","1,757","2,270","2,064","1,153","672","90","3","6,372","6,372","340","416","855","1,078","852","1,097","991","470","249","23","1","7,049","7,049","319","407","931","1,066","905","1,173","1,073","683","423","67","2"
"서울특별시 중구 신당제5동(1114065000)","10,261","10,261","522","506","1,592","1,717","1,477","1,825","1,378","802","389","49","4","4,972","4,972","259","236","716","849","758","954","702","330","152","15","1","5,289","5,289","263","270","876","868","719","871","676","472","237","34","3"
"서울특별시 중구 동화동(1114066500)","10,169","10,169","635","785","1,248","1,295","1,455","1,889","1,552","776","469","63","2","4,889","4,889","346","398","595","629","704","918","771","352","157","19","0","5,280","5,280","289","387","653","666","751","971","781","424","312","44","2"
"서울특별시 중구 황학동(1114067000)","12,645","12,645","698","461","2,121","2,857","1,836","1,785","1,551","904","361","69","2","5,999","5,999","354","222","869","1,416","924","880","764","423","130","17","0","6,646","6,646","344","239","1,252","1,441","912","905","787","481","231","52","2"
"서울특별시 중구 중림동(1114068000)","12,009","12,009","971","713","1,302","2,089","2,022","1,879","1,576","935","449","67","6","5,968","5,968","497","382","611","988","1,074","980","827","413","175","18","3","6,041","6,041","474","331","691","1,101","948","899","749","522","274","49","3"
"서울특별시 용산구 (1117000000)","222,230","222,230","12,226","14,471","32,382","37,990","33,216","36,029","29,475","15,956","8,930","1,474","81","106,686","106,686","6,238","7,342","15,101","18,813","16,369","17,686","14,325","6,960","3,389","442","21","115,544","115,544","5,988","7,129","17,281","19,177","16,847","18,343","15,150","8,996","5,541","1,032","60"
"서울특별시 용산구 후암동(1117051000)","16,571","16,571","812","1,136","2,355","2,739","2,502","2,729","2,277","1,259","646","103","13","8,069","8,069","424","616","1,203","1,423","1,209","1,342","1,066","557","204","22","3","8,502","8,502","388","520","1,152","1,316","1,293","1,387","1,211","702","442","81","10"
"서울특별시 용산구 용산2가동(1117052000)","9,293","9,293","291","469","1,427","1,632","1,291","1,346","1,398","895","463","81","0","4,479","4,479","148","246","738","842","680","613","643","381","167","21","0","4,814","4,814","143","223","689","790","611","733","755","514","296","60","0"
"서울특별시 용산구 남영동(1117053000)","7,266","7,266","160","234","915","1,011","970","1,587","1,413","631","297","41","7","4,412","4,412","86","131","436","529","607","1,090","987","380","152","13","1","2,854","2,854","74","103","479","482","363","497","426","251","145","28","6"
"서울특별시 용산구 청파동(1117055500)","19,349","19,349","597","1,046","4,177","3,302","2,508","3,016","2,463","1,413","736","87","4","9,021","9,021","294","509","1,640","1,771","1,264","1,483","1,176","574","287","22","1","10,328","10,328","303","537","2,537","1,531","1,244","1,533","1,287","839","449","65","3"
